2026-07-02 09:07:37.946 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97545674000103: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:37.960 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97545660000190: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:37.969 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97545433000164: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:37.978 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97545247000125: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:37.985 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97545091000182: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:37.995 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97544808000171: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.002 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97544694000160: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.003 | INFO     | services.casa_dados_client:pesquisar_todos:148 - Pesquisando termo 'condominio' pagina 3 (fonte gratuita)...
2026-07-02 09:07:38.258 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97544662000164: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.267 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97544562000138: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.276 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97544131000171: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.285 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543866000180: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.298 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543738000137: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.307 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543713000133: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.315 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543687000143: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.322 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543379000118: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.330 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97543271000125: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
