cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
52.734.899/0001-70,CONDOMINIO RESIDENCIAL CAPIACACI,CONDOMINIO RESIDENCIAL CAPIACACI,ATIVA,,,31/07/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CAPIACACI,154,,PENHA DE FRANCA,03638150,SAO PAULO,SP,(11) 47889580,,,,
52.734.511/0001-30,CONDOMINIO VILA 11 VILA MARIANA,CONDOMINIO VILA 11 VILA MARIANA,ATIVA,,,17/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CORREIA DIAS,475,479 487 489,PARAISO,04104001,SAO PAULO,SP,(11) 43692100,,,,
52.731.447/0001-34,RESIDENCIAL BERLIM,RESIDENCIAL BERLIM,ATIVA,,,07/11/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA JOAO FERNANDES,65,,JARDIM NOSSA SENHORA DO CARMO,08275150,SAO PAULO,SP,(11) 27251061,,,,
52.724.452/0001-10,CONDOMINIO EDIFICIO LUCANIA,CONDOMINIO LUCANIA,ATIVA,,,08/07/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA PATUAI,125,,VILA DO BOSQUE,04147050,SAO PAULO,SP,(11) 981824620,,,,
52.723.017/0001-70,CONDOMINIO RESIDENCIAL VIVA JACANA,CONDOMINIO RESIDENCIAL VIVA JACANA,ATIVA,,,21/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA ADALGISA,261,,VILA NILO,02278050,SAO PAULO,SP,(11) 54611056,,,,
52.719.661/0001-75,RESIDENCIAL SAFIRA,RESIDENCIAL SAFIRA,ATIVA,,,20/04/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA LAGOA DA BARRA,175,,ITAQUERA,08215540,SAO PAULO,SP,(11) 27251061,,,,
52.716.624/0001-03,RESIDENCIAL AMERICO SUGAI,RESIDENCIAL AMERICO SUGAI,ATIVA,,,08/08/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA AMERICO SUGAI,190,,VILA JACUI,08060380,SAO PAULO,SP,(11) 47950098,,,,
52.715.041/0001-68,IS CONSOLACAO,-,ATIVA,,,26/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA MAJOR SERTORIO,423,,VILA BUARQUE,01222001,SAO PAULO,SP,(11) 31915000,,,,
52.714.873/0002-40,METROPOLITAN TUCURUVI,622 - CONDOMINIO METROPOLITAN TUCURUVI NAO RESIDENCIAL,ATIVA,,,04/09/2023,FILIAL,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA JOSE DE ALBUQUERQUE,73,87,PARADA INGLESA,02242080,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
52.714.873/0001-60,METROPOLITAN TUCURUVI,CONDOMINIO METROPOLITAN TUCURUVI,ATIVA,,,04/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AVENIDA ALVARO MACHADO PEDROSA,744,752,PARADA INGLESA,02245000,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
